bucket,lower_boundary,upper_boundary,number_of_values,frequency,average_frequency,variance,bucket_cost
1,'Debbie's Got Reefer','Til Death Do Us Part,3,3.0,1.0,0.0,0.0
2,(#1.1),(#1.1),1,36.0,36.0,0.0,0.0
3,(#1.10),(#1.10),1,11.0,11.0,0.0,0.0
4,(#1.100),(#1.158),55,71.0,1.290909090909091,0.6426446280991739,35.345454545454565
5,(#1.16),(#1.16),1,5.0,5.0,0.0,0.0
6,(#1.161),(#1.199),16,30.0,1.875,2.234375,35.75
7,(#1.2),(#1.2),1,29.0,29.0,0.0,0.0
8,(#1.206),(#1.2984),32,49.0,1.53125,1.1240234375,35.96875
9,(#1.3),(#1.3),1,24.0,24.0,0.0,0.0
10,(#1.30),(#1.30),1,7.0,7.0,0.0,0.0
11,(#1.3026),(#1.319),11,12.0,1.0909090909090908,0.08264462809917354,0.909090909090909
12,(#1.32),(#1.32),1,7.0,7.0,0.0,0.0
13,(#1.321),(#1.3975),18,28.0,1.5555555555555556,1.1358024691358026,20.444444444444446
14,(#1.4),(#1.4),1,25.0,25.0,0.0,0.0
15,(#1.4005),(#1.490),29,38.0,1.3103448275862069,0.4209274673008323,12.206896551724137
16,(#1.5),(#1.5),1,28.0,28.0,0.0,0.0
17,(#1.50),(#1.598),27,32.0,1.1851851851851851,0.4471879286694102,12.074074074074076
18,(#1.6),(#1.6),1,20.0,20.0,0.0,0.0
19,(#1.60),(#5.10),233,321.0,1.3776824034334765,0.9131499935530218,212.7639484978541
20,(#5.14),Zwei neue auf Schloss Einstein,4566,4622.0,1.012264564169952,0.015618305827087755,71.31318440648269
