bucket,lower_boundary,upper_boundary,number_of_values,frequency,average_frequency,variance,bucket_cost
1,545,125318,250,250.0,1.0,0.0,0.0
2,126569,284501,250,250.0,1.0,0.0,0.0
3,285712,433603,250,250.0,1.0,0.0,0.0
4,433941,579370,250,250.0,1.0,0.0,0.0
5,582311,710102,250,250.0,1.0,0.0,0.0
6,710457,835445,250,250.0,1.0,0.0,0.0
7,835624,963380,250,250.0,1.0,0.0,0.0
8,963949,1096807,250,250.0,1.0,0.0,0.0
9,1098059,1194013,250,250.0,1.0,0.0,0.0
10,1194195,1285227,250,250.0,1.0,0.0,0.0
11,1285267,1435385,250,250.0,1.0,0.0,0.0
12,1435534,1577596,250,250.0,1.0,0.0,0.0
13,1577759,1699420,250,250.0,1.0,0.0,0.0
14,1700569,1829558,250,250.0,1.0,0.0,0.0
15,1831093,1950061,250,250.0,1.0,0.0,0.0
16,1950110,2064500,250,250.0,1.0,0.0,0.0
17,2064626,2180446,250,250.0,1.0,0.0,0.0
18,2180595,2261249,250,250.0,1.0,0.0,0.0
19,2261611,2393833,250,250.0,1.0,0.0,0.0
20,2394629,2525925,250,250.0,1.0,0.0,0.0
